time,total_yggl,total_ygdn
2019-06-17 19:21:57,0.02,22739.212
2019-06-17 19:22:57,0.018,22739.212
2019-06-17 19:23:57,0.019,22739.212
2019-06-17 19:24:57,0.018,22739.212
2019-06-17 19:25:57,0.019,22739.212
2019-06-17 19:26:58,0.02,22739.212
2019-06-17 19:27:59,0.018,22739.212
2019-06-17 19:28:58,0.018,22739.212
2019-06-17 19:29:58,0.02,22739.212
2019-06-17 19:30:59,0.019,22739.212
2019-06-17 19:31:58,0.02,22739.212
2019-06-17 19:32:58,0.019,22739.212
2019-06-17 19:33:57,0.019,22739.212
2019-06-17 19:34:57,0.02,22739.212
2019-06-17 19:35:58,0.018,22739.212
2019-06-17 19:36:58,0.019,22739.212
2019-06-17 19:37:58,0.02,22739.212
2019-06-17 19:38:58,0.016,22739.212
2019-06-17 19:39:58,0.017,22739.212
2019-06-17 19:40:58,0.016,22739.212
2019-06-17 19:41:58,0.016,22739.212
2019-06-17 19:43:08,0.017,22739.212
2019-06-17 19:50:34,0.018,22739.212
2019-06-17 19:50:34,0.019,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:35,0.018,22739.212
2019-06-17 19:50:35,0.02,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:59,0.018,22739.212
2019-06-17 19:51:59,0.019,22739.212
2019-06-17 19:52:59,0.018,22739.212
2019-06-17 19:53:59,0.02,22739.212
2019-06-17 19:54:59,0.018,22739.212
2019-06-17 19:55:59,0.02,22739.212
2019-06-17 19:56:59,0.018,22739.212
2019-06-17 19:59:04,0.018,22739.212
2019-06-17 20:00:04,0.015,22739.212
2019-06-17 20:01:04,0.017,22739.212
